Team_Url;Team;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Notes
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-05-12;17:45;Liga Argentina;Matchweek 1;Sun;Away;D;4;4;Belgrano;1,8;1,4;48;NA;Leonardo Sigali;4-3-3;Nazareno Arasa;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-05-16;19:00;Sudamericana;Group stage;Thu;Home;W;3;0;Coquimbo Unido;NA;NA;58;17016;Gabriel Arias;4-3-3;Andrés Rojas;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-05-20;21:15;Liga Argentina;Matchweek 2;Mon;Home;W;3;0;Arg Juniors;1,5;0,4;47;NA;Gabriel Arias;3-4-3;Nicolás Ramírez;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-05-24;19:00;Liga Argentina;Matchweek 3;Fri;Away;W;4;0;Tigre;2,9;0,6;40;NA;Gabriel Arias;5-4-1;Yael Falcón;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-05-28;21:30;Sudamericana;Group stage;Tue;Home;W;3;0;Sport Luqueño;NA;NA;52;14139;Gabriel Arias;3-4-3;Bismark Santiago;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-06-01;18:00;Liga Argentina;Matchweek 4;Sat;Home;W;1;0;Deportivo Riestra;1,6;0,2;74;NA;Gabriel Arias;3-4-3;Fernando Echenique;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-06-13;21:15;Liga Argentina;Matchweek 5;Thu;Away;L;0;2;Lanús;0,2;1,2;53;NA;Bruno Zuculini;3-1-4-2;Leandro Rey Hilfer;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-07-21;;Liga Argentina;Matchweek 6;Sun;Home;;NA;NA;Godoy Cruz;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-07-24;;Liga Argentina;Matchweek 7;Wed;Away;;NA;NA;Sarmiento;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-07-28;;Liga Argentina;Matchweek 8;Sun;Home;;NA;NA;Unión;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-08-04;;Liga Argentina;Matchweek 9;Sun;Away;;NA;NA;Huracán;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-08-11;;Liga Argentina;Matchweek 10;Sun;Home;;NA;NA;Gimnasia–LP;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-08-18;;Liga Argentina;Matchweek 11;Sun;Away;;NA;NA;Newell's OB;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-08-25;;Liga Argentina;Matchweek 12;Sun;Home;;NA;NA;Independiente;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-09-01;;Liga Argentina;Matchweek 13;Sun;Away;;NA;NA;Atlé Tucumán;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-09-15;;Liga Argentina;Matchweek 14;Sun;Home;;NA;NA;Boca Juniors;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-09-22;;Liga Argentina;Matchweek 15;Sun;Away;;NA;NA;Talleres;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-09-29;;Liga Argentina;Matchweek 16;Sun;Home;;NA;NA;Platense;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-10-06;;Liga Argentina;Matchweek 17;Sun;Away;;NA;NA;Vélez Sarsfield;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-10-20;;Liga Argentina;Matchweek 18;Sun;Home;;NA;NA;Defensa y Just;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-10-27;;Liga Argentina;Matchweek 19;Sun;Away;;NA;NA;Banfield;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-11-03;;Liga Argentina;Matchweek 20;Sun;Home;;NA;NA;Instituto;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-11-06;;Liga Argentina;Matchweek 21;Wed;Away;;NA;NA;Barracas Central;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-11-10;;Liga Argentina;Matchweek 22;Sun;Home;;NA;NA;Independiente Rivadavia;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-11-20;;Liga Argentina;Matchweek 23;Wed;Away;;NA;NA;San Lorenzo;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-11-24;;Liga Argentina;Matchweek 24;Sun;Home;;NA;NA;Estudiantes;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-12-01;;Liga Argentina;Matchweek 25;Sun;Away;;NA;NA;Rosario Central;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-12-08;;Liga Argentina;Matchweek 26;Sun;Away;;NA;NA;Cen. Córdoba–SdE;NA;NA;NA;NA;;;;NA
https://fbref.com/en/squads/8e20e13d/2024/Racing-Club-Stats;Racing Club;2024-12-15;;Liga Argentina;Matchweek 27;Sun;Home;;NA;NA;River Plate;NA;NA;NA;NA;;;;NA
